,GeoName,Year,gdp
579,Pennsylvania,2019,726165.9
580,Rhode Island,2019,53668.0
581,South Carolina,2019,214933.7
582,South Dakota,2019,47559.7
583,Tennessee,2019,328406.3
584,Texas,2019,1764357.2
585,Utah,2019,168792.7
586,Vermont,2019,29806.2
587,Virginia,2019,489168.4
588,Washington,2019,548686.7
589,West Virginia,2019,72340.4
590,Wisconsin,2019,308044.7
591,Wyoming,2019,39214.0
592,New England,2019,990777.5
593,Mideast,2019,3336480.6
594,Great Lakes,2019,2505871.8
595,Plains,2019,1181310.4
596,Southeast,2019,3981051.8
597,Southwest,2019,2386060.9
598,Rocky Mountain,2019,687941.6
599,Far West,2019,3864650.3
