,State,Year,FIPS_Code,Civilian_Pop,Civilian_Labor_Force,Labor_Force_Pct,Employed_Total,Employed_Pct,Unemployed_Total,Unemployed_Rate,Population,gdp,treatment
274,Nebraska,2014,31.0,1431323.166666667,1012567.5833333335,70.73333333333333,979639.4166666665,68.44999999999999,32928.166666666664,3.25,1879321.0,107394.4,1
275,Nebraska,2015,31.0,1440994.25,1011802.0,70.225,981459.75,68.10833333333335,30342.25,2.983333333333333,1891277.0,110752.9,1
276,Nebraska,2016,31.0,1452381.25,1016063.6666666665,69.94166666666666,984889.3333333335,67.8,31174.33333333333,3.066666666666667,1905616.0,111611.7,1
277,Nebraska,2017,31.0,1462197.166666667,1016538.75,69.525,986675.75,67.48333333333333,29863.0,2.933333333333333,1915947.0,113754.2,1
278,Nebraska,2018,31.0,1470781.333333333,1026968.1666666665,69.8,997574.75,67.83333333333333,29393.41666666667,2.858333333333333,1925614.0,115087.9,1
279,Nebraska,2019,31.0,1479047.583333333,1040467.9166666665,70.35000000000001,1009490.0,68.24166666666666,30977.91666666667,2.975,1934408.0,117395.2,1
280,Nevada,2010,32.0,2061292.583333333,1358413.083333333,65.89166666666668,1171975.0,56.86666666666667,186438.0833333333,13.733333333333334,2702405.0,128878.9,0
281,Nevada,2011,32.0,2092674.083333333,1360623.916666667,65.00833333333333,1179541.166666667,56.37500000000001,181082.75,13.316666666666668,2712730.0,129748.1,0
282,Nevada,2012,32.0,2122954.0,1366619.833333333,64.375,1207821.916666667,56.89166666666667,158797.91666666663,11.608333333333334,2743996.0,127789.1,0
283,Nevada,2013,32.0,2154637.333333333,1370939.916666667,63.63333333333335,1234348.5,57.29166666666666,136591.41666666663,9.966666666666663,2775970.0,128341.2,0
284,Nevada,2014,32.0,2192082.5,1380091.75,62.958333333333314,1267421.416666667,57.82500000000001,112670.33333333331,8.158333333333333,2817628.0,129405.2,0
285,Nevada,2015,32.0,2235028.166666666,1396826.166666667,62.49166666666667,1301280.583333333,58.21666666666668,95545.58333333331,6.8500000000000005,2866939.0,134892.2,0
286,Nevada,2016,32.0,2279403.833333333,1414405.666666667,62.05833333333333,1332376.333333333,58.45,82029.33333333331,5.808333333333335,2917563.0,138638.9,0
287,Nevada,2017,32.0,2326795.833333333,1453012.583333333,62.45000000000002,1380088.666666667,59.30000000000001,72923.91666666669,5.016666666666667,2969905.0,143590.9,0
288,Nevada,2018,32.0,2378605.0,1505647.583333333,63.29166666666666,1439539.916666667,60.51666666666666,66107.66666666669,4.408333333333332,3027341.0,149663.0,0
289,Nevada,2019,32.0,2432622.333333333,1566433.666666667,64.39166666666667,1505357.5,61.88333333333333,61076.16666666666,3.9,3080156.0,153728.6,0
290,New Hampshire,2010,33.0,1055690.916666667,739304.8333333335,70.05,694287.3333333335,65.75,45017.5,6.083333333333332,1316762.0,66460.5,0
291,New Hampshire,2011,33.0,1060141.083333333,736689.6666666665,69.49166666666666,696488.5,65.7,40201.16666666666,5.449999999999998,1320202.0,66859.3,0
292,New Hampshire,2012,33.0,1068653.666666667,740956.25,69.32499999999999,700584.1666666665,65.56666666666668,40372.083333333336,5.466666666666668,1324232.0,67635.7,0
293,New Hampshire,2013,33.0,1075450.666666667,743243.0,69.1,704317.5833333335,65.49166666666666,38925.41666666666,5.250000000000001,1326622.0,68124.5,0
294,New Hampshire,2014,33.0,1083434.416666667,743873.0,68.66666666666667,711797.0,65.675,32076.0,4.325,1333341.0,69506.5,0
295,New Hampshire,2015,33.0,1089562.0,746322.8333333335,68.49999999999999,720896.5,66.15833333333335,25426.33333333333,3.391666666666666,1336350.0,71419.1,0
296,New Hampshire,2016,33.0,1097720.166666667,752466.4166666665,68.55,730872.3333333335,66.58333333333333,21594.08333333333,2.8833333333333333,1342307.0,73022.7,0
